Id,Category,Subcategory,Furnishing,Neighborhood quality,Garage,Tenure,Unit Feature 1,Unit Feature 2,Unit Feature 3,Features,Area (sq. ft),Gym,Swimming pool,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,Latitude,Longitude,Remarks
13,House,Duplex,Fully Furnished,2,FALSE,Freehold,Dining Room Furniture,Bathtub,Jacuzzi,Dining Room Furniture,2139,TRUE,FALSE,4,3,2,2022,Downtown,Poor,No,849947,2.9832,101.458,
14,House,Detached House,Fully Furnished,4,TRUE,Freehold,Dryer,Balcony,Living Room Furniture,,2546,FALSE,TRUE,1,1,1,2016,Rural,Good,No,399355,2.7141,100.902,
15,House,Detached House,Partial Furnished,6,FALSE,Leasehold,Dishwasher,Water heater,Bathtub,,2471,TRUE,FALSE,1,3,1,2015,Urban,Fair,Yes,481838,2.8451,101.643,
16,House,Condominium,Partial Furnished,1,TRUE,Leasehold,Living Room Furniture,Air-conditioning,Intercom,,2491,FALSE,TRUE,1,4,2,2011,Downtown,Poor,No,853032,2.9854,101.165,
17,House,Semi-Detached House,Partial Furnished,10,TRUE,Leasehold,Oven/Micowave,Jacuzzi,Bathtub,,2348,FALSE,TRUE,2,1,1,2015,Urban,Fair,Yes,208964,3.7288,101.749,
18,House,Condominium,Fully Furnished,1,FALSE,Freehold,Park/Greenery View,Jacuzzi,Dryer,,1758,TRUE,FALSE,2,2,1,2020,Downtown,Poor,Yes,905742,3.7139,101.67,
19,House,Terraced House/Townhouse,Partial Furnished,2,TRUE,Freehold,Balcony,Dining Room Furniture,Dryer,,1319,FALSE,TRUE,2,2,2,2019,Suburban,Good,No,989305,3.3501,101.277,
20,House,Bungalow,Fully Furnished,1,FALSE,Leasehold,Oven/Micowave,Bathtub,Air-conditioning,,3525,FALSE,TRUE,5,2,2,2021,Downtown,Excellent,No,218767,3.7073,101.033,
21,House,Villa,Unfurnished,6,TRUE,Leasehold,Water heater,Dryer,Park/Greenery View,,5266,TRUE,FALSE,4,4,2,2018,Suburban,Good,Yes,996357,2.6612,101.403,
22,House,Terraced House/Townhouse,Fully Furnished,7,TRUE,Freehold,City View,Bathtub,Jacuzzi,,1081,FALSE,TRUE,4,3,1,2017,Downtown,Excellent,No,709789,2.7379,100.703,
23,House,Bungalow,Unfurnished,5,TRUE,Freehold,Park/Greenery View,Dryer,Dryer,,3530,FALSE,TRUE,3,1,1,2011,Downtown,Poor,No,709966,3.1228,101.305,
24,House,Apartment,Unfurnished,7,TRUE,Freehold,Bathtub,Jacuzzi,Dining Room Furniture,,918,FALSE,TRUE,2,2,3,2010,Rural,Poor,Yes,447694,3.7461,101.194,
25,House,Duplex,Unfurnished,4,FALSE,Leasehold,City View,Bathtub,Living Room Furniture,,1283,FALSE,TRUE,5,1,3,2019,Urban,Excellent,Yes,688668,3.4201,101.279,
26,House,Condominium,Partial Furnished,4,FALSE,Freehold,Air-conditioning,Water heater,Living Room Furniture,,2101,TRUE,FALSE,5,4,2,2012,Urban,Good,Yes,527032,2.6181,101.428,
27,House,Studio,Partial Furnished,3,TRUE,Leasehold,Intercom,Living Room Furniture,Dining Room Furniture,,342,TRUE,FALSE,4,2,3,2021,Urban,Good,Yes,745494,3.2411,101.6,
28,House,Apartment,Unfurnished,10,FALSE,Leasehold,Oven/Micowave,Intercom,Park/Greenery View,,1100,FALSE,TRUE,2,4,1,2014,Downtown,Excellent,Yes,513179,2.817,101.725,
29,House,Loft,Unfurnished,10,FALSE,Freehold,City View,Dining Room Furniture,Park/Greenery View,,1429,FALSE,TRUE,3,3,3,2024,Downtown,Poor,Yes,948212,2.6956,100.958,
30,House,Loft,Unfurnished,5,FALSE,Leasehold,Living Room Furniture,Living Room Furniture,Balcony,,1345,FALSE,TRUE,2,4,1,2022,Downtown,Excellent,No,206547,3.3887,101.472,
31,House,Condominium,Unfurnished,6,FALSE,Leasehold,City View,Dining Room Furniture,Living Room Furniture,,1868,TRUE,FALSE,1,4,2,2024,Suburban,Poor,No,902609,3.5431,101.431,
32,House,Condominium,Unfurnished,4,TRUE,Leasehold,City View,Park/Greenery View,Dining Room Furniture,,1999,FALSE,TRUE,2,3,2,2019,Suburban,Excellent,Yes,727090,3.4337,101.064,
33,House,Condominium,Partial Furnished,3,TRUE,Freehold,Dishwasher,Water heater,City View,,1818,FALSE,TRUE,1,1,1,2021,Rural,Poor,No,202185,2.6385,101.748,
34,House,Loft,Unfurnished,1,TRUE,Leasehold,Living Room Furniture,Intercom,Oven/Micowave,,1515,FALSE,TRUE,1,3,3,2013,Downtown,Excellent,No,725371,3.4995,101.485,
35,House,Terraced House/Townhouse,Partial Furnished,1,TRUE,Leasehold,Air-conditioning,Dining Room Furniture,Bathtub,,1902,TRUE,FALSE,3,3,2,2023,Urban,Fair,Yes,105746,3.5703,101.705,
36,House,Condominium,Partial Furnished,4,FALSE,Freehold,Dishwasher,Balcony,Dryer,,1770,FALSE,TRUE,4,4,2,2014,Urban,Poor,No,959507,3.3232,100.97,
37,House,Bungalow,Partial Furnished,4,FALSE,Freehold,Air-conditioning,Dryer,Dryer,,3184,TRUE,FALSE,2,1,3,2016,Rural,Good,No,748213,2.5907,101.396,
38,House,Bungalow,Unfurnished,4,TRUE,Freehold,Park/Greenery View,Air-conditioning,City View,,3497,FALSE,TRUE,1,2,3,2023,Urban,Excellent,Yes,921627,3.4493,101.859,
39,House,Villa,Partial Furnished,6,FALSE,Leasehold,Dryer,Intercom,Water heater,,4413,TRUE,FALSE,2,3,1,2023,Rural,Good,No,873250,2.9445,101.626,
40,House,Semi-Detached House,Partial Furnished,9,TRUE,Freehold,Living Room Furniture,Water heater,Balcony,,1119,FALSE,TRUE,4,1,3,2011,Downtown,Excellent,No,218393,2.7321,101.546,
41,House,Duplex,Unfurnished,8,FALSE,Freehold,Bathtub,Air-conditioning,Jacuzzi,,1665,FALSE,TRUE,4,3,3,2014,Urban,Good,Yes,333453,2.6773,100.827,
42,House,Terraced House/Townhouse,Fully Furnished,2,FALSE,Leasehold,Water heater,Living Room Furniture,Water heater,,1654,FALSE,TRUE,5,3,3,2021,Downtown,Good,No,986192,2.5786,101.233,
43,House,Duplex,Fully Furnished,5,FALSE,Freehold,Park/Greenery View,Living Room Furniture,Jacuzzi,,2131,FALSE,TRUE,4,3,1,2017,Suburban,Excellent,No,340320,3.3463,100.864,
44,House,Villa,Partial Furnished,5,FALSE,Freehold,Balcony,Jacuzzi,Dishwasher,,3969,TRUE,FALSE,3,3,1,2020,Urban,Excellent,No,643167,3.3357,101.279,
45,House,Apartment,Unfurnished,5,FALSE,Leasehold,City View,Jacuzzi,Living Room Furniture,,682,FALSE,TRUE,1,4,2,2017,Suburban,Good,Yes,641880,3.706,101.001,
46,House,Apartment,Partial Furnished,3,TRUE,Leasehold,Bathtub,Intercom,Oven/Micowave,,877,TRUE,FALSE,5,1,1,2013,Urban,Good,Yes,396872,3.4973,100.715,
47,House,Bungalow,Partial Furnished,4,TRUE,Freehold,Bathtub,Bathtub,Park/Greenery View,,2074,TRUE,FALSE,3,1,2,2018,Downtown,Good,No,270084,2.5082,101.968,
48,House,Condominium,Fully Furnished,1,TRUE,Freehold,Dryer,Air-conditioning,Water heater,,2347,TRUE,FALSE,2,1,3,2012,Rural,Poor,No,976920,3.5541,101.301,
49,House,Villa,Unfurnished,3,FALSE,Freehold,Dryer,Air-conditioning,City View,,3638,FALSE,TRUE,1,3,2,2022,Downtown,Poor,Yes,771782,3.2496,100.824,
50,House,Loft,Unfurnished,6,TRUE,Leasehold,Air-conditioning,Jacuzzi,Living Room Furniture,,1997,FALSE,TRUE,4,4,2,2014,Downtown,Fair,Yes,845016,3.0872,101.222,
51,House,Duplex,Fully Furnished,7,FALSE,Freehold,City View,Water heater,Intercom,,1411,TRUE,FALSE,1,3,3,2015,Downtown,Poor,No,698843,2.7383,100.932,
52,House,Penthouse,Partial Furnished,4,FALSE,Freehold,City View,Bathtub,Living Room Furniture,,3350,TRUE,FALSE,2,3,2,2014,Urban,Poor,Yes,405446,3.3835,101.153,
53,House,Semi-Detached House,Partial Furnished,9,TRUE,Leasehold,Park/Greenery View,Balcony,Oven/Micowave,,2461,FALSE,TRUE,5,1,1,2020,Rural,Excellent,No,958840,3.626,101.992,
54,House,Condominium,Partial Furnished,10,FALSE,Freehold,Park/Greenery View,Living Room Furniture,Dining Room Furniture,,2395,TRUE,FALSE,5,3,1,2024,Suburban,Fair,No,593118,3.7121,101.487,
55,House,Villa,Unfurnished,7,TRUE,Freehold,Balcony,Dishwasher,Bathtub,,5744,FALSE,TRUE,5,2,1,2018,Downtown,Fair,Yes,266897,3.7337,101.333,
56,House,Bungalow,Partial Furnished,10,TRUE,Leasehold,Oven/Micowave,Jacuzzi,Balcony,,3240,FALSE,TRUE,4,3,1,2023,Urban,Poor,Yes,826522,3.1946,101.694,
57,House,Villa,Unfurnished,3,TRUE,Freehold,Bathtub,Dishwasher,Dryer,,3991,TRUE,FALSE,3,2,2,2019,Suburban,Excellent,No,913498,2.5248,101.527,
58,House,Bungalow,Unfurnished,9,FALSE,Leasehold,Jacuzzi,Dryer,Dishwasher,,2959,TRUE,FALSE,3,3,2,2018,Downtown,Excellent,No,840023,2.7975,101.065,
59,House,Studio,Fully Furnished,4,FALSE,Freehold,Intercom,Living Room Furniture,Dryer,,598,FALSE,TRUE,1,4,3,2021,Suburban,Fair,Yes,143878,3.6912,101.442,
60,House,Condominium,Fully Furnished,6,FALSE,Freehold,Air-conditioning,Dryer,Park/Greenery View,,1925,FALSE,TRUE,4,4,2,2021,Downtown,Excellent,No,175407,3.2075,101.323,
61,House,Terraced House/Townhouse,Partial Furnished,6,FALSE,Leasehold,Balcony,Intercom,Air-conditioning,,1493,FALSE,TRUE,5,1,2,2018,Suburban,Good,Yes,691157,2.6086,101.102,
62,House,Penthouse,Unfurnished,3,FALSE,Freehold,Jacuzzi,Park/Greenery View,Jacuzzi,,2445,FALSE,TRUE,5,3,2,2017,Suburban,Poor,Yes,307716,2.7451,101.509,
63,House,Loft,Fully Furnished,7,TRUE,Freehold,Balcony,Air-conditioning,Dishwasher,,1686,FALSE,TRUE,2,2,3,2015,Rural,Good,Yes,857827,3.1977,101.642,
64,House,Terraced House/Townhouse,Fully Furnished,7,TRUE,Leasehold,City View,Dryer,Intercom,,1470,FALSE,TRUE,2,2,1,2016,Rural,Fair,Yes,66738,3.0719,101.458,
65,House,Penthouse,Partial Furnished,7,TRUE,Leasehold,Dining Room Furniture,Oven/Micowave,City View,,2098,TRUE,FALSE,5,3,2,2021,Downtown,Fair,Yes,183703,2.9474,101.143,
66,House,Semi-Detached House,Partial Furnished,2,TRUE,Leasehold,Bathtub,Jacuzzi,Dryer,,2277,FALSE,TRUE,5,2,3,2015,Urban,Excellent,No,723265,3.242,100.787,
67,House,Semi-Detached House,Fully Furnished,7,FALSE,Freehold,Bathtub,Jacuzzi,Air-conditioning,,1002,FALSE,TRUE,4,4,3,2018,Rural,Excellent,Yes,593344,2.9234,101.62,
68,House,Bungalow,Partial Furnished,3,FALSE,Leasehold,Dining Room Furniture,Jacuzzi,Jacuzzi,,3630,TRUE,FALSE,3,2,3,2012,Suburban,Fair,Yes,815034,3.2772,101.008,
69,House,Villa,Fully Furnished,5,TRUE,Freehold,City View,Oven/Micowave,Balcony,,5485,TRUE,FALSE,2,1,1,2010,Rural,Fair,Yes,560241,3.1073,101.555,
70,House,Penthouse,Unfurnished,5,FALSE,Freehold,Dining Room Furniture,Park/Greenery View,Balcony,,2215,TRUE,FALSE,3,4,2,2022,Rural,Good,Yes,433800,2.7512,101.957,
71,House,Condominium,Partial Furnished,7,TRUE,Freehold,Water heater,Jacuzzi,Dining Room Furniture,,2040,FALSE,TRUE,4,4,3,2015,Downtown,Good,Yes,689604,2.6628,101.916,
72,House,Bungalow,Unfurnished,1,TRUE,Leasehold,Living Room Furniture,Bathtub,Air-conditioning,,2267,FALSE,TRUE,5,4,1,2015,Rural,Excellent,Yes,740807,2.9748,101.86,
73,House,Terraced House/Townhouse,Fully Furnished,8,TRUE,Leasehold,Intercom,Balcony,Park/Greenery View,,1881,TRUE,FALSE,3,3,3,2014,Rural,Good,Yes,628706,2.6733,101.855,
74,House,Terraced House/Townhouse,Partial Furnished,2,TRUE,Leasehold,City View,Jacuzzi,Water heater,,1490,TRUE,FALSE,5,3,3,2023,Suburban,Excellent,No,873622,2.5501,101.076,
75,House,Studio,Partial Furnished,4,TRUE,Leasehold,Intercom,Dining Room Furniture,Air-conditioning,,470,FALSE,TRUE,5,4,3,2020,Rural,Excellent,No,76014,2.9655,101.298,
76,House,Duplex,Fully Furnished,1,TRUE,Leasehold,Bathtub,Park/Greenery View,Park/Greenery View,,2152,TRUE,FALSE,1,3,3,2024,Suburban,Poor,No,778359,3.1333,101.54,
77,House,Semi-Detached House,Partial Furnished,5,TRUE,Freehold,Dishwasher,Dryer,Water heater,,1104,FALSE,TRUE,3,2,3,2017,Rural,Excellent,No,813277,2.5448,101.477,
78,House,Penthouse,Unfurnished,7,FALSE,Freehold,Bathtub,Water heater,Dishwasher,,1648,FALSE,TRUE,3,3,1,2024,Rural,Good,Yes,231350,2.6702,100.876,
79,House,Penthouse,Unfurnished,6,FALSE,Leasehold,Balcony,Dryer,Dining Room Furniture,,1955,TRUE,FALSE,5,3,2,2013,Urban,Fair,No,961995,3.2179,101.74,
80,House,Penthouse,Fully Furnished,9,TRUE,Freehold,Water heater,Living Room Furniture,Living Room Furniture,,4672,FALSE,TRUE,4,4,2,2019,Rural,Fair,Yes,838212,2.5564,101.056,
81,House,Duplex,Partial Furnished,4,FALSE,Freehold,Jacuzzi,Air-conditioning,Oven/Micowave,,2261,TRUE,FALSE,1,1,2,2021,Suburban,Good,No,534859,3.1737,101.512,
82,House,Duplex,Fully Furnished,10,TRUE,Freehold,Dishwasher,Oven/Micowave,Air-conditioning,,1849,FALSE,TRUE,5,1,2,2020,Suburban,Fair,No,764618,3.0375,101.342,
83,House,Apartment,Fully Furnished,1,FALSE,Freehold,Bathtub,Air-conditioning,Bathtub,,1000,TRUE,FALSE,2,1,1,2017,Downtown,Excellent,Yes,540339,2.9971,101.174,
84,House,Apartment,Partial Furnished,3,TRUE,Freehold,City View,Oven/Micowave,Bathtub,,945,TRUE,FALSE,2,2,1,2021,Downtown,Fair,Yes,92192,2.7135,101.399,
85,House,Bungalow,Partial Furnished,4,FALSE,Freehold,Living Room Furniture,Dining Room Furniture,City View,,2808,FALSE,TRUE,1,3,1,2023,Urban,Good,No,941307,2.5034,100.75,
86,House,Semi-Detached House,Fully Furnished,7,FALSE,Leasehold,Dryer,Park/Greenery View,Living Room Furniture,,2144,FALSE,TRUE,4,1,3,2019,Suburban,Fair,No,411273,2.8983,101.279,
87,House,Condominium,Fully Furnished,3,FALSE,Freehold,Dishwasher,Park/Greenery View,Dryer,,1604,TRUE,FALSE,5,4,3,2024,Suburban,Excellent,No,93923,2.9711,101.58,
88,House,Detached House,Partial Furnished,7,FALSE,Freehold,Dining Room Furniture,Living Room Furniture,Dryer,,2934,TRUE,FALSE,3,1,3,2021,Suburban,Excellent,No,663484,3.1497,100.969,
89,House,Detached House,Unfurnished,9,TRUE,Leasehold,Dishwasher,Dining Room Furniture,Living Room Furniture,,2774,TRUE,FALSE,1,1,2,2014,Urban,Good,Yes,576683,3.4776,101.089,
90,House,Apartment,Unfurnished,10,FALSE,Leasehold,Intercom,Dining Room Furniture,Air-conditioning,,859,FALSE,TRUE,4,3,3,2023,Suburban,Good,No,414593,3.3974,101.228,
91,House,Villa,Fully Furnished,1,TRUE,Leasehold,Bathtub,Living Room Furniture,Bathtub,,5125,TRUE,FALSE,3,3,2,2011,Downtown,Good,No,433891,3.4423,100.896,
92,House,Studio,Unfurnished,8,FALSE,Freehold,Bathtub,Living Room Furniture,Bathtub,,383,TRUE,FALSE,2,3,3,2015,Urban,Poor,No,802744,3.0297,101.946,
93,House,Semi-Detached House,Fully Furnished,6,FALSE,Freehold,Dining Room Furniture,Dining Room Furniture,Intercom,,2390,FALSE,TRUE,2,2,2,2017,Downtown,Poor,No,458995,3.6935,101.473,
94,House,Semi-Detached House,Unfurnished,7,TRUE,Freehold,Bathtub,Oven/Micowave,Intercom,,2052,TRUE,FALSE,3,2,3,2022,Downtown,Excellent,No,645316,2.9475,101.753,
95,House,Detached House,Partial Furnished,10,TRUE,Freehold,Balcony,Park/Greenery View,Dishwasher,,3718,FALSE,TRUE,1,1,3,2018,Urban,Poor,Yes,997226,3.3263,101.649,
96,House,Detached House,Fully Furnished,5,FALSE,Freehold,Living Room Furniture,Oven/Micowave,Balcony,,3795,TRUE,FALSE,2,3,1,2016,Rural,Poor,Yes,450327,2.9496,101.608,
97,House,Studio,Partial Furnished,8,TRUE,Freehold,Intercom,Oven/Micowave,Living Room Furniture,,438,FALSE,TRUE,5,1,3,2023,Rural,Fair,Yes,816751,2.7093,101.713,
98,House,Duplex,Fully Furnished,2,TRUE,Freehold,Park/Greenery View,Water heater,Park/Greenery View,,2404,TRUE,FALSE,3,4,3,2023,Downtown,Poor,Yes,715344,2.7072,101.992,
99,House,Loft,Partial Furnished,8,FALSE,Freehold,City View,Dryer,Oven/Micowave,,1213,TRUE,FALSE,3,4,1,2015,Rural,Fair,Yes,929608,3.2918,101.928,
100,House,Penthouse,Fully Furnished,2,TRUE,Freehold,Living Room Furniture,Jacuzzi,Dining Room Furniture,,1522,TRUE,FALSE,2,3,2,2024,Suburban,Good,No,777688,3.2177,101.148,
101,House,Terraced House/Townhouse,Fully Furnished,1,TRUE,Leasehold,Living Room Furniture,Dishwasher,Intercom,,1798,TRUE,FALSE,1,3,1,2020,Urban,Fair,Yes,305315,3.1194,100.717,
102,House,Villa,Unfurnished,9,FALSE,Freehold,Dining Room Furniture,Park/Greenery View,Living Room Furniture,,4131,FALSE,TRUE,5,4,1,2019,Downtown,Fair,Yes,339068,3.2701,101.105,
103,House,Semi-Detached House,Unfurnished,2,FALSE,Freehold,Air-conditioning,Oven/Micowave,Park/Greenery View,,2307,FALSE,TRUE,1,3,2,2010,Suburban,Good,No,495919,2.9697,100.964,
104,House,Loft,Fully Furnished,5,FALSE,Freehold,Intercom,Intercom,Dining Room Furniture,,1678,TRUE,FALSE,4,2,3,2011,Rural,Good,Yes,344721,3.2521,101.193,
105,House,Duplex,Unfurnished,7,FALSE,Freehold,Dishwasher,Oven/Micowave,Air-conditioning,,2264,TRUE,FALSE,4,2,2,2011,Suburban,Excellent,Yes,188783,2.6003,101.359,
106,House,Studio,Fully Furnished,3,FALSE,Freehold,Air-conditioning,Dishwasher,Water heater,,517,FALSE,TRUE,2,3,3,2022,Rural,Excellent,Yes,659836,2.9859,100.751,
107,House,Studio,Fully Furnished,2,TRUE,Leasehold,City View,Water heater,Dryer,,519,FALSE,TRUE,2,4,3,2011,Downtown,Excellent,Yes,307288,2.863,101.802,
108,House,Condominium,Unfurnished,9,TRUE,Freehold,Living Room Furniture,Park/Greenery View,Dishwasher,,2498,TRUE,FALSE,2,1,2,2011,Suburban,Excellent,No,543085,3.0424,101.85,
109,House,Bungalow,Fully Furnished,3,TRUE,Freehold,Intercom,Living Room Furniture,Dining Room Furniture,,2344,FALSE,TRUE,4,3,1,2012,Urban,Fair,No,545187,3.4109,101.894,
110,House,Condominium,Fully Furnished,9,TRUE,Freehold,Balcony,Balcony,Water heater,,2496,FALSE,TRUE,1,3,2,2020,Downtown,Fair,Yes,699381,3.4202,100.76,
111,House,Loft,Unfurnished,5,TRUE,Leasehold,Park/Greenery View,Air-conditioning,Jacuzzi,,1356,FALSE,TRUE,1,1,3,2012,Suburban,Excellent,No,285835,2.9278,101.323,
112,House,Loft,Unfurnished,5,TRUE,Leasehold,Dining Room Furniture,Dining Room Furniture,Dryer,,1740,FALSE,TRUE,2,3,2,2018,Suburban,Poor,Yes,971600,2.5382,101.705,
113,House,Apartment,Partial Furnished,5,FALSE,Leasehold,Balcony,Air-conditioning,Living Room Furniture,,607,TRUE,FALSE,5,1,2,2018,Rural,Excellent,No,902987,3.3638,101.924,
114,House,Terraced House/Townhouse,Partial Furnished,6,TRUE,Leasehold,City View,Bathtub,Bathtub,,1362,TRUE,FALSE,1,4,3,2018,Downtown,Poor,No,401992,2.5026,101.113,
115,House,Terraced House/Townhouse,Partial Furnished,4,TRUE,Freehold,Intercom,Water heater,City View,,1473,TRUE,FALSE,4,2,1,2021,Downtown,Good,No,256084,3.3446,101.744,
116,House,Bungalow,Unfurnished,6,FALSE,Freehold,Jacuzzi,Oven/Micowave,City View,,2886,TRUE,FALSE,3,4,2,2010,Downtown,Fair,No,844686,3.0972,101.23,
117,House,Bungalow,Partial Furnished,9,TRUE,Leasehold,Intercom,City View,Jacuzzi,,3199,FALSE,TRUE,3,2,3,2016,Downtown,Fair,No,437554,3.3891,100.838,
118,House,Penthouse,Partial Furnished,8,TRUE,Freehold,Park/Greenery View,Bathtub,Jacuzzi,,3137,FALSE,TRUE,3,1,3,2019,Rural,Poor,No,803315,3.4885,101.599,
119,House,Bungalow,Fully Furnished,5,FALSE,Freehold,Oven/Micowave,Oven/Micowave,Living Room Furniture,,2504,TRUE,FALSE,5,2,2,2021,Urban,Excellent,No,520336,3.4795,101.054,
120,House,Bungalow,Fully Furnished,10,FALSE,Leasehold,Air-conditioning,Dishwasher,Balcony,,3216,TRUE,FALSE,2,4,1,2011,Downtown,Fair,No,973469,2.7801,101.916,
121,House,Apartment,Fully Furnished,6,FALSE,Freehold,Park/Greenery View,Living Room Furniture,Oven/Micowave,,717,FALSE,TRUE,4,2,2,2023,Rural,Poor,No,258072,3.2279,101.878,
122,House,Semi-Detached House,Unfurnished,3,TRUE,Freehold,Dishwasher,Intercom,Bathtub,,1428,TRUE,FALSE,5,1,1,2024,Urban,Good,No,298029,2.9188,101.474,
123,House,Villa,Fully Furnished,8,TRUE,Freehold,City View,Air-conditioning,Dining Room Furniture,,5517,TRUE,FALSE,4,2,1,2019,Urban,Good,No,259047,3.4645,101.362,
124,House,Detached House,Partial Furnished,2,FALSE,Leasehold,Living Room Furniture,Dryer,Dryer,,2476,TRUE,FALSE,4,3,1,2013,Rural,Fair,Yes,415169,2.8238,101.046,
125,House,Apartment,Partial Furnished,2,TRUE,Freehold,Water heater,Jacuzzi,Intercom,,780,FALSE,TRUE,2,4,1,2017,Downtown,Excellent,No,180509,3.0899,101.977,
126,House,Detached House,Unfurnished,6,FALSE,Leasehold,Bathtub,Park/Greenery View,Oven/Micowave,,1640,TRUE,FALSE,3,3,2,2019,Urban,Poor,Yes,812072,2.8481,101.121,
127,House,Terraced House/Townhouse,Unfurnished,1,TRUE,Leasehold,Air-conditioning,Park/Greenery View,Dryer,,1955,TRUE,FALSE,2,1,3,2017,Downtown,Fair,No,345107,3.2863,101.075,
128,House,Condominium,Partial Furnished,7,TRUE,Leasehold,Water heater,Dining Room Furniture,Water heater,,2091,FALSE,TRUE,5,2,3,2014,Downtown,Good,Yes,577561,2.9517,100.855,
129,House,Condominium,Unfurnished,8,TRUE,Leasehold,Jacuzzi,Jacuzzi,City View,,1986,TRUE,FALSE,5,3,3,2012,Suburban,Excellent,Yes,589618,3.3091,101.63,
130,House,Detached House,Unfurnished,2,TRUE,Leasehold,Balcony,Air-conditioning,Bathtub,,2950,TRUE,FALSE,5,3,3,2011,Downtown,Poor,Yes,202566,3.0414,100.737,
131,House,Condominium,Fully Furnished,9,TRUE,Freehold,City View,Air-conditioning,Oven/Micowave,,1757,FALSE,TRUE,2,2,3,2022,Suburban,Fair,No,650710,3.4464,101.988,
132,House,Apartment,Unfurnished,7,FALSE,Freehold,Living Room Furniture,Oven/Micowave,Living Room Furniture,,959,FALSE,TRUE,4,2,3,2020,Urban,Poor,No,958521,3.4794,101.36,
133,House,Studio,Partial Furnished,10,TRUE,Leasehold,City View,Dishwasher,Bathtub,,527,FALSE,TRUE,4,4,2,2023,Rural,Excellent,No,53212,3.4552,101.509,
134,House,Duplex,Unfurnished,6,TRUE,Leasehold,Oven/Micowave,Water heater,Water heater,,1765,FALSE,TRUE,1,3,1,2016,Suburban,Excellent,No,282131,2.7573,101.878,
135,House,Duplex,Fully Furnished,8,FALSE,Leasehold,Balcony,Dishwasher,Living Room Furniture,,2012,TRUE,FALSE,5,3,3,2021,Rural,Good,Yes,526657,2.9078,101.41,
136,House,Detached House,Partial Furnished,10,FALSE,Leasehold,Intercom,Balcony,Oven/Micowave,,3821,FALSE,TRUE,4,1,2,2018,Urban,Excellent,No,661882,3.6914,101.114,
137,House,Condominium,Partial Furnished,4,TRUE,Freehold,City View,Dryer,Dishwasher,,1578,TRUE,FALSE,1,4,3,2018,Downtown,Fair,No,182152,3.337,100.988,
138,House,Studio,Fully Furnished,6,TRUE,Leasehold,Living Room Furniture,Air-conditioning,Dryer,,375,TRUE,FALSE,4,1,3,2022,Urban,Poor,No,344819,3.7451,100.722,
